,Job vacancy rate 6,4.6C,4.4C,3.3C,4.1C,3.8D
,,Dollars,,,,
,Average offered hourly wage 7,13.85A,13.65A,15.45A,14.50A,14.70B
Educational services  [61],,Number,,,,
,Job vacancies 4,335D,330B,300C,195C,225B
,Payroll employees 3 5,"36,045A","40,745A","42,745A","42,695A","37,210A"
,,Percentage,,,,
,Job vacancy rate 6,0.9D,0.8B,0.7C,0.5C,0.6B
,,Dollars,,,,
,Average offered hourly wage 7,23.35B,22.95A,23.50B,25.35A,23.35A
Health care and social assistance  [62],,Number,,,,
,Job vacancies 4,"2,420B","2,420B","2,290B","3,160B","3,160B"
,Payroll employees 3 5,"66,945A","67,310A","67,775A","68,300A","69,355A"
,,Percentage,,,,
,Job vacancy rate 6,3.5B,3.5B,3.3B,4.4B,4.4B
,,Dollars,,,,
,Average offered hourly wage 7,20.55B,22.90A,22.15A,21.20A,20.35A
"Arts, entertainment and recreation  [71]",,Number,,,,
,Job vacancies 4,175D,180E,125D,290C,180C
,Payroll employees 3 5,"6,350A","5,300A","4,480A","4,960A","6,500A"
,,Percentage,,,,
,Job vacancy rate 6,2.7D,3.3E,2.7C,5.6C,2.7C
,,Dollars,,,,
,Average offered hourly wage 7,13.35A,15.15B,13.75A,12.30A,13.85A
Accommodation and food services  [72],,Number,,,,
,Job vacancies 4,"1,890B","1,470C","1,080C","1,890C","2,005B"
,Payroll employees 3 5,"34,105A","32,760A","30,160A","31,285A","35,305A"
,,Percentage,,,,
,Job vacancy rate 6,5.3B,4.3C,3.5C,5.7B,5.4B
,,Dollars,,,,
,Average offered hourly wage 7,12.00A,12.10A,11.90A,12.60A,12.55A
Other services (except public administration)  [81]9,,Number,,,,
,Job vacancies 4,355D,375E,305D,595D,615D
,Payroll employees 3 5,"12,560A","12,530A","12,210A","11,975A","12,830A"
,,Percentage,,,,
,Job vacancy rate 6,2.8D,2.9E,2.4D,4.7D,4.6D
,,Dollars,,,,
,Average offered hourly wage 7,17.00B,16.55C,17.75B,18.40B,17.85B
Public administration  [91]10,,Number,,,,
,Job vacancies 4,135B,150C,120B,155C,80B
,Payroll employees 3 5,"11,445A","11,045A","10,890A","11,140A","11,725A"
,,Percentage,,,,
,Job vacancy rate 6,1.2B,1.3C,1.1B,1.4C,0.7B
,,Dollars,,,,
,Average offered hourly wage 7,24.20A,25.30A,23.65A,19.50A,29.55A
,,,,,,
D : data quality: acceptable,,,,,,
F : too unreliable to be published,,,,,,
A : data quality: excellent,,,,,,
B : data quality: very good,,,,,,
E : use with caution,,,,,,
C : data quality: good,,,,,,
x : suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,
,,,,,,
Footnotes:,,,,,,
1,"Data quality indicators are based on the coefficient of variation (CV). For the indicators for data from the first quarter of 2015, refer to Appendix B of the Guide to the Job Vacancy and Wage Survey. Comparisons of data from the first quarter of 2015 with data from subsequent quarters should be made with caution. Starting with the second quarter of 2015, quality indicators indicate the following: A - Excellent (CV between 0% and 4.99%); B - Very good (CV between 5% and 9.99%); C - Good (CV between 10% and 14.99%); D - Acceptable (CV between 15% and 24.99%); E - Use with caution (CV between 25% and 34.99%); F - Too unreliable to publish (CV greater than or equal to 35%, or sample size is too small to produce reliable estimates).",,,,,
2,"Industry estimates starting in 2018 Q3 are based on the 2017 North American Industry Classification System (NAICS) Version 3.0 and those prior to 2018 Q3 are based on the NAICS 2017 Version 2.0. The following categories are excluded from the survey: 'Religious organizations' (8131) within 'Religious, grant-making, civic, and professional and similar organizations' (813), 'Private households' (814), 'Federal, government public administration' (911), 'Provincial and territorial public administration' (912) and 'International and other extra-territorial public administration' (919).",,,,,
3,"The employment estimates from the Job Vacancy and Wage Survey (JVWS) are calibrated to the employment estimates from the Survey of Employment, Payrolls and Hours (SEPH) at the North American Industry Classification System sector (NAICS2) level by province. For this reason, JVWS employment may vary from SEPH at the subsector (NAICS3) level.",,,,,
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded.",,,,,
5,"The 'employee' concept used in the Job Vacancy and Wage Survey (JVWS) is comprised of full-time employees, part-time employees, as well as permanent, casual, temporary, and seasonal employees. It also includes working owners, directors, partners, and other officers of incorporated businesses, as well as employees who work at home or on the road but report to the location. The ‘employee' concept used in the JVWS is meant to exclude owners or partners of unincorporated businesses and professional practices, the self-employed, subcontractors, external consultants, unpaid family workers, persons working outside Canada, and military personnel. It also excludes employees on unpaid leave, such as those on extended sick leave who are receiving insurance benefits.",,,,,
6,"The job vacancy rate is the number of job vacancies expressed as a percentage of labour demand; that is, all occupied and vacant jobs.",,,,,
7,"The average hourly wage offered by employers for vacant positions. It excludes overtime, tips, commissions and bonuses. Salaries are converted to hourly wages based on information regarding the frequency of pay and the expected average number of hours worked per week. The offered wage may be different from the actual wage paid once the position is filled. If the salary is different among the job vacancies for the same occupation, the respondent is asked to report the lowest wage or salary. When the compensation advertised for the job vacancy is in the form of a salary range or an hourly pay range, the respondent is asked to report the lowest value of the range. If the work will be paid based on, for example, the number of parts produced, mileage or the number of times a task is performed, the respondent is asked to report the expected minimum salary.",,,,,
8,"Due to the reduced sample size in the first quarter of 2015, the Finance and insurance (52) and Management of companies and enterprises (55) sectors were calibrated to a combined total from the Survey of Employment, Payrolls and Hours for the first quarter of 2015 only.",,,,,
9,"Excludes 'Religious organizations' (8131) within 'Religious, grant-making, civic, and professional and similar organizations' (813) as well as 'Private households' (814).",,,,,
10,"Excludes 'Federal, government public administration' (911), 'Provincial and territorial public administration' (912) and 'International and other extra-territorial public administration' (919).",,,,,
,,,,,,
"How to cite: Statistics Canada. Table 14-10-0326-01 Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by industry sector, quarterly, unadjusted for seasonality",,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032601,,,,,,
DOI:  https://doi.org/10.25318/1410032601-eng,,,,,,
