Account Name,ComID
JusNova Agriculture Ltd,
Stratigro Business Consulting,
4Deep Inwater Imaging,
Blois Fish Processing Automation Limited,
Maritime Gourmet Mushrooms Inc,
Atlantic Flight Attendant Academy,
Breton Brewing Co,
Lunenburg County Shipwrights Inc.,
Raised Performance Media Inc.,
SalesRight Technologies Inc,
Sayle Group Inc,
Youx Systems Inc.,
6 Joe's Software Inc.,
Downeast Entertainment & Meeting Specialists Limited,
Hand Maiden Fine Yarn Inc.,
Maritime bioLoggers Inc.,
Momentum IT Group,
New Colliers Ltd,
Pelagis Data Solutions,
Ziah Frost Media Inc.,
Breakers Fish Co Ltd,
FoodByte Inc,
Foundation Marketing Services Inc.,
Graphite Innovation and Technologies Inc.,
Mimir Networks Corporation,
Portara Pictures Incorporated,
Securicy Data Solutions Ltd,
Sedna Tech,
Strongest Families Institute,
Success Through Trust Inc,
Deprolabs Technology Inc.,
Dominion Diving Limited,
Festina Lente Productions Inc.,
Focal Research Consultants Limited,
Harbr Inc.,
Leeway Yachts Ltd.,
NS Sports Media Pros Ltd,
Prosaris Consulting Ltd.,
QRA Corp,
Peer Ledger Inc,
Acoubit Communications,
Meghan Martin Incorporated,
MRE Industries Limited,
Nova Graphene,
PeopleCan Training & Development,
World Link Food Distributors Inc,
CacheFlo Inc.,
Guild Software Inc,
Nodalblock Canada Holdings Inc.,
Panag Pharma Inc.,
Ubique Networks Inc,
Clerisy Management Group Limited,
Dadavan Systems Inc,
East Coast Varsity,
Hivetronics Limited,
More In Store Marketing Solutions Inc,
NewAE Technology Inc.,
SolutionInc Ltd,
Chase's Lobster Pound Ltd,
Survival Systems Ltd,
Two East Productions Inc.,
Deep Vision Inc,
DGI Clinical Inc.,
Du Nord Skin Care,
Halifax Language Institute of Canada,
Proven Marketing for Lawyers Inc.,
Sassy Solutions Consulting Limited,
Trip Ninja,
Tri-Star Industries Limited,
Uprise Consulting,
USP-LAB N.A. Ltd.,
AC Live Lobster Inc,
Beta Glucan Company of Canada Inc.,
CarbonCure Technologies Inc,
Giffin Technologies Inc.,
Huminah Huminah Animation,
Oyster Promo Inc,
Picture Plant Ltd.,
The Instratify Group Inc.,
Access Labels,
Iron Apple,
SailTimer Inc.,
Skyline (Refer to Orgrimmar Tech. Inc.),
Survival Systems Training Limited,
Dugo Systems Inc,
Journeyman Film Company  Ltd.,
TapRoot Fibre Lab Inc,
Eel Lake Oyster Farm,
MacGregors Industrial Group,
Pivotal Coaching,
Arcadia Entertainment Inc.,
Burnt Out Solutions Inc,
EcoAdvisors Inc,
Stantec,
Dillon Consulting Ltd,
McGlone Sales and Consulting,
Stright-MacKay Ltd,
AGL Group Holding Limited,
Arrivals + Departures Communications Limited,
Breton SmarTek Inc,
Eosense Inc,
Fossil Power Systems Inc.,
LearnCorp International,
Sailing CBI Inc,
Bad Fem Productions Inc.,
Colibri Software,
Halifax Glassworks Limited,
Modest Tree Media Inc,
SEG Consulting Inc.,
Shut Up & Colour Pictures Inc,
Swept Technologies Inc.,
WoodChaCallIt Toy and Wood Crafters,
ProNova Marine Products Limited,
VitaMed Inc,
Core Elements Advisors Inc.,
Andrew MacCormack,
Aqua Production Systems Incorporated,
Nexus Coastal Resource Management,
Over The Edge (Canada) Inc,
Pro-Oceanus Systems Inc,
Sober Island Oysters Limited,
My Home Apparel,
Social Navigator Inc,
Eye Catch Signs Limited,
Flo Digital Inc,
Sea to Sea Productions Ltd.,
Turbulent Research Inc,
Xeos Technologies Inc,
APPILI Therapeutics,
Black Star Wealth Partners,
Cabbage Patch Kimchi,
Gorgeous Mistake Productions,
Nautics Group Inc.,
Nu-Air Ventilation Systems Inc,
Ocean Sonics Ltd,
Retail Deep,
Rebel Road Films,
Climate Technical Gear,
Freshify Inc,
Midgard Insect Farm Inc,
Ocean Pride Fisheries Limited (Atlantic Treasure Limited),
Vesuvius Media Ltd.,
EOceans Research and Consulting Inc.,
I Matheson & Company (IMC) Ltd,
Enginuity Inc.,
Fourth Wave Strategy Inc,
Romor Ocean Solutions,
Schoolhouse Gluten Free Gourmet Ltd.,
Spritely Technologies Inc,
Green Power Labs Inc,
Andrea Janzen Professional Coaching,
Atlantic Ambassatours Ltd.,
Left Meets Right Creative Co,
RPS Composites Inc,
Ruby Tree Films Inc.,
Black Dog Films / The Monster Productions Inc,
GN Plastics Company Ltd.,
Nautel Limited,
Efficiency Properties,
Aerovision Canada,
Glas Ocean Electric Inc,
Red Dragon Marketing,
Canada Rope & Twine Limited,
Hoppy's Safety Hook Enterprise,
Lorax Systems Inc,
Manage Your Spend,
Outdoor-Fit Exercise Systems,
Side Door Access Inc,
Smarter Spaces Inc,
Omnitech Electronics Inc,
TerraProForma (FORMERLY - Play the Field),
Javitech Atlantic Ltd,
Allswater Marine Consultants Ltd,
Atlantic Prepaid,
Blue Ocean Contact Centers,
Cut/Off/Tail Pictures,
First Catch Fisheries Co. Ltd,
Ocean Perfect North America Inc.,
SOHMA Naturals,
The Discovery Centre International Inc.,
The Family Knife Marketing Consultancy Inc.,
Twirp Communications,
Vertical Productions Inc.,
Atlantex Limited,
Bandha Nutrition Products,
Boxing Rock Brewing Co,
Dynamic Systems Analysis Ltd.,
Magic Rock Productions,
Mersey Consulting Ltd,
Mil-Aero Electronics Atlantic Inc,
Partner International Inc,
Capital Seafood International Incorporated,
Aerotec Engines Limited,
CBCL Limited,
Tucan Olive Oil Company Ltd,
BlockCrushr Inc.,
C Squared Project Management Services Ltd.,
Copernicus Labs Inc,
Innovative Fishery Products Inc,
ITO Seafoods Ltd,
Nautical Seafoods Ltd,
Prism Tradeshow Products Inc.,
"Sufata Software Solutions, Inc",
Uplift Content Inc,
Verb Interactive Inc.,
Wired Flare Inc,
Ocean Entertainment Ltd.,
Pisces Research Project Management Inc,
Web Builders Group Inc,
HB Studios Multimedia Ltd,
Dartmouth Metals and Bottle Limited,
"Kenney & Ross, Limited",
Ocean Crisp Apple Company Incorporated,
Surrette Battery Company Limited,
John Ross & Sons Ltd.,
Canadian Maritime Engineering Limited,
Maritime Labels & Packaging,
Kohltech International Ltd,
Agropur Cooperative,
Scotian Gold Cooperative Ltd,
Oxford Frozen Foods Ltd,
Michelin North America (Canada) Inc - Granton,
AF Theriault & Son Ltd.,
Kilo Communications Inc,
The Lobster Trap Company Limited,
Airesun Global Limited,
Photodynamic Incorporated,
NeoThermal Energy Storage Inc,
Scotia Garden Seafoods Inc,
Axem Neurotechnology Inc.,
Nova Aquaponics Incorporated,
Louisbourg Seafoods Ltd,
Aurea Technologies Inc,
D.M.R. Boat Design Limited,
Cape Breton Bivalve Inc,
Velsoft Training Materials Inc,
F L Action/Reaction Sports,
Heritage Memorials Limited,
Chelation Partners Incorporated,
Dykeview Farms Limited,
Fundy Hops,
Atlantick Repellent Products Inc.,
Saltbox Brewing Company,
Sea-Pur Seaweed Products,
Alto Solar,
Natural Ocean Products Inc.,
RGI Logistics & Technology Inc.,
L'Acadie Vineyards,
Stevens Solutions & Design Inc,
Bear River Vineyards Ltd.,
Mermaid Fare Inc,
ColorSmith,
Bear Cove Resources,
Defenzall Therapeutics Inc.,
Finleaf Technologies Inc.,
Stones Pharmacy,
Propel BioEnergy LTD.,
Apaqtaukewaq Fishery Co-op,
PPT Labs Inc.,
NovaResp Technologies Inc.,
Elcora Advanced Materials Corp,
Yarmouth Bar Fisheries Limited,
LED Roadway Lighting Ltd,
Copol International Ltd.,
Introhive Services (NS) Inc.,
The Sydney Call Centre Inc.,
REDspace Inc,
Influitive Corporation,
Savormetrics Inc.,
Monkedia LLC,
Manulife Financial,
Dilytics,
BeyondTrust Software Inc.,
10380008 Canada Inc dba MobSquad,
Gael Force Group,
Sensor Technology Ltd,
Columbus AI,
Accenture Canada,
Propipe UK,
Invisible Agents,
Nova Innovation,
Sea Harvest Seafood (2019) Ltd,
Adadem Import and Export,
Amos And Andy Fisheries Limited,
Caldera Distilling Inc.,
Clever Fruit Products,
Fair Grant Writing,
Famolex Integrated Consult Limited,
Globiz Innovation Inc.,
McInnes Cooper,
Sea Star Seafoods Limited,
GeoSpectrum Technologies Incorporated,
Institute for Big Data Analytics,
Jasco Applied Sciences (Canada) Ltd,
Kraken Robotics Inc.,
Metamaterial Technologies Inc,
Acadian Maple Products Ltd,
Acadian Seaplants Limited / Les Algues Acadiennes Limitee,
Cedar Bay Grilling Company,
Galloping Cows Fine Foods,
Hailmar Investments Limited,
Hutchinson Maple (Hutchinson Acres Inc) (Pure Infused Maple Syrup),
The Tea Brewery,
Van Dyk's Health Juice Products Ltd,
Luckett Vineyards (Luckett Farms Limited),
Blomidon Estate Winery,
Devonian Coast Wineries Ltd  (DCW),
Domaine de Grand Pre,
Mother Hubbard's Kitchens,
Bluenose Frozen Seafood Incorporated,
Captain Little Seafood Ltd.,
Marimetrics Technologies,
Ocean Data Science,
Prosaris Solutions Ltd.,
ReelData,
Wittaya Aqua,
Geoforce Group Limited,
MacArtney Canada Ltd,
Clearwater Seafoods Ltd Partnership,
Gidney Fisheries Limited,
Natural Hues Inc,
Ashored Innovations,
Annapolis Brewing Company,
Authentic Seacoast Company Ltd,
Island_ Folk_ Cider_ House,
The Propeller Brewing Company,
IBM Canada Ltd,
Easypass Immigration & Education Consulting Inc,
Fundy Drinks LTD,
Sainte-Famille Wines Ltd,
Atlantic Resources Partnership Inc,
Fisher King Seafoods Ltd,
Right Source Group Limited,
Rio Import & Export Limited,
Top Claw Lobster & Seafood Company,
Hawboldt Industries (1989) Ltd,
Ocean Technology Council of Nova Scotia (OTCNS),
Taste of Nova Scotia Quality Food,
Penny Doherty Literacy Consultants Incorporated,
Haskapa,
Atlantica Mechanical Contractors Inc,
Biscay Seafoods Canada Ltd,
Pearlmark Foods - NS Division,
Zeus Seafood Inc,
TriNav Fisheries Consultants Inc,
Realtime Aquaculture,
Clearwater Fine Foods (Europe) Ltd,
Bezanson & Chase Cranberry Co Ltd,
Kings Produce Processing Limited,
TAPROOT FARMS,
The Nova Agri Group,
Van Meekeren Farms Ltd,
Addvocacy ADHD & Life Skills Coaching Ltd,
Clockk.Com Inc,
Ethical Swag Inc,
OnBook - Port Tack Media (10527602 Canada Inc),
Fishermen's Premium Atlantic Lobster Inc,
Golden Alliance Canada Inc,
IMO Foods Limited,
West Fish Canada Limited,
Marwood Limited,
