Topic,Characteristics,Total,Male,Female
Deaths,    Ischaemic heart diseases; deaths (per 100000 population),92.5,130.1,63.4
Deaths,    Cerebrovascular diseases; deaths (per 100000 population),34.9,38,32.3
Deaths,    All other circulatory diseases; deaths (per 100000 population),52.3,62.1,45.1
Deaths,  Respiratory diseases; deaths (per 100000 population),54,69.5,45.1
Deaths,    Pneumonia and influenza; deaths (per 100000 population),13.9,16.4,12.4
Deaths,    Bronchitis; emphysema and asthma; deaths (per 100000 population),2.4,2.9,2.2
Deaths,    All other respiratory diseases; deaths (per 100000 population),37.7,50.2,30.5
Deaths,  Unintentional injuries; deaths (per 100000 population),32,44.6,20.8
Deaths,  Suicides and self-inflicted injuries; deaths (per 100000 population),9.1,15.4,3.3
Deaths,  Human immunodeficiency virus [HIV] disease; deaths (per 100000 population),0.6,,
Deaths,Premature mortality (per 100000 population),280.5,350.6,214.7
Personal Resources,Sense of community belonging (%),71.2,71.3,71.2
Personal Resources,Life satisfaction; satisfied or very satisfied (%),92.9,93.5,92.4
Living and Working Conditions,High school graduates aged 25 to 29 (%),89,85.8,92.2
Living and Working Conditions,Post-secondary graduates aged 25 to 54 (%),66,62.4,69.2
Living and Working Conditions,Unemployment (%),8.8,,
Living and Working Conditions,Youth unemployment; aged 15 to 24 (%),16.7,,
Living and Working Conditions,Long-term unemployment (%),5.4,5.7,5.1
Living and Working Conditions,Low income (%),12.9,11.8,13.9
Living and Working Conditions,Children aged 17 and under living in low income families (%),14.7,15,14.4
Community,Total population (%),100,100,100
Community,Large urban population centre population (%),32.3,32,32.6
Community,Medium population centre population (%),3.4,3.3,3.5
Community,Small population centre population (%),20.8,20.2,21.4
Community,Rural area population (%),43.4,44.5,42.4
Community,Population density (persons per km<sup>2</sup>),17.41,,
Community,Dependency ratio (%),58.6,,
Community,Youth; under 20 years; as a proportion of total population (%),21.9,,
Community,Seniors; 65 years and over; as a proportion of total population (%),15,,
Community,Aboriginal population (%),3.7,3.7,3.7
Community,Immigrant population (%),5.3,5.4,5.2
Community,1 year internal migrants (%),3.8,3.8,3.8
Community,5 year internal migrants (%),12.2,12.4,12.1
Community,Population living within a Metropolitan Influenced Zone (%),68,67.9,68.2
Community,Lone-parent families (%),17.3,3.4,13.9
Community,Visible minority population (%),5.2,5.5,5
Health System,Contact with a medical doctor in the past 12 months (%),,,
Health System,Coronary artery bypass graft (per 100000 population),56,97,21
Health System,Percutaneous coronary intervention (per 100000 population),157,241,80
Health System,Cardiac revascularization (per 100000 population),213,337,100
Health System,Hip replacement (per 100000 population),106,99,112
Health System,Knee replacement (per 100000 population),187,163,209
Health System,Hysterectomy (per 100000 population),411,,411
Health System,Inflow/outflow ratio - Overall (ratio),,,
Health System,Mental illness hospitalization rate (per 100000 population),401,399,404
Health System,Mental illness patient days (per 10000 population),581,564,596
Resources,Doctors rate - General/family physicians (per 100000 population),122,,
Resources,Doctors rate - Specialist physicians (per 100000 population),119,,
,,,,
Data quality symbols,,,,
.    Not available for any reference period,,,,
..   Not available for a specific reference period,,,,
...  Not applicable,,,,
E    Use with caution,,,,
F    Too unreliable to be published,,,,
x    Suppressed to meet the confidentiality requirements of the Statistics Act,,,,
,,,,
Source: Statistics Canada.,,,,
,,,,
How to cite: Statistics Canada. 2013. Health Profile.,,,,
Statistics Canada Catalogue no. 82-228-XWE. Ottawa. Released December 12 2013.,,,,
http://www12.statcan.gc.ca/health-sante/82-228/index.cfm?Lang=E,,,,
