"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by provinces and territories, quarterly, unadjusted for seasonality 1",,,,,,
Quarterly,,,,,,
Table: 14-10-0325-01 (formerly CANSIM 285-0001),,,,,,
"Geography: Canada, Province or territory",,,,,,
,,,,,,
Geography2,Statistics,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019
,Average offered hourly wage 6,21.75A,21.85A,22.55A,22.05A,22.15A
Manitoba,,Number,,,,
,Job vacancies 3,"15,270A","15,230A","13,960A","15,565A","15,960A"
,Payroll employees 4,"583,955A","591,515A","581,315A","584,375A","592,755A"
,,Percentage,,,,
,Job vacancy rate 5,2.5A,2.5A,2.3A,2.6A,2.6A
,,Dollars,,,,
,Average offered hourly wage 6,19.95A,19.60A,20.20A,19.55A,19.90A
Saskatchewan,,Number,,,,
,Job vacancies 3,"10,775A","8,855A","8,900A","11,450A","11,125A"
,Payroll employees 4,"456,545A","465,645A","458,575A","462,760A","463,580A"
,,Percentage,,,,
,Job vacancy rate 5,2.3A,1.9A,1.9A,2.4A,2.3A
,,Dollars,,,,
,Average offered hourly wage 6,20.35A,20.95A,21.55A,20.20A,20.40A
Alberta,,Number,,,,
,Job vacancies 3,"58,745A","55,030A","49,755A","59,930A","52,890A"
,Payroll employees 4,"1,950,945A","1,967,670A","1,950,375A","1,950,000A","1,982,050A"
,,Percentage,,,,
,Job vacancy rate 5,2.9A,2.7A,2.5A,3.0A,2.6A
,,Dollars,,,,
,Average offered hourly wage 6,22.75A,23.25A,24.30A,23.50A,23.30A
British Columbia,,Number,,,,
,Job vacancies 3,"110,565A","104,515A","101,945A","108,115A","106,260A"
,Payroll employees 4,"2,191,995A","2,227,545A","2,210,510A","2,222,860A","2,252,350A"
,,Percentage,,,,
,Job vacancy rate 5,4.8A,4.5A,4.4A,4.6A,4.5A
,,Dollars,,,,
,Average offered hourly wage 6,20.85A,21.00A,21.45A,21.60A,21.30A
Yukon,,Number,,,,
,Job vacancies 3,855B,760C,735C,"1,175C","1,065C"
,Payroll employees 4,"18,295A","17,495A","16,365A","16,805A","18,350A"
,,Percentage,,,,
,Job vacancy rate 5,4.5B,4.2C,4.3C,6.5C,5.5C
,,Dollars,,,,
,Average offered hourly wage 6,21.45A,20.40A,23.70A,21.00A,20.40A
Northwest Territories,,Number,,,,
,Job vacancies 3,780D,740D,760C,720C,785B
,Payroll employees 4,"22,520A","21,860A","21,090A","21,220A","22,220A"
,,Percentage,,,,
,Job vacancy rate 5,3.3C,3.3D,3.5C,3.3C,3.4B
,,Dollars,,,,
,Average offered hourly wage 6,22.95A,24.85B,23.85A,24.15A,24.60A
Nunavut,,Number,,,,
,Job vacancies 3,435B,400B,455B,545C,485B
,Payroll employees 4,"12,000A","12,570A","12,030A","11,985A","13,175A"
,,Percentage,,,,
,Job vacancy rate 5,3.5B,3.1B,3.7B,4.3C,3.5B
,,Dollars,,,,
,Average offered hourly wage 6,27.35A,27.90A,30.15A,31.55A,29.05A
