Location,College,Program,Center Name,Street Address ,Suite/Floor/Mailbox,City/Town,Province,Postal Code,Mailing Address - PO Box/Street,Mailing Detail,Mailing - City,Mailing - Province,Mailing - Postal Code,Contact,Fax,Web,Phone
"(45.380336, -63.446779)",Commercial Safety College,Excavator Operator Training,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Heavy Equipment Operator Training,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Loader Operator Training,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Motor Coach (Bus Driver) Training,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,School Bus Driver,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Straight Truck Training,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Skid Steer Loader Operator,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(45.380336, -63.446779)",Commercial Safety College,Tractor Trailer Internship Program,,11490 Highway #2,,Masstown,NS,B0M 1G0,PO Box 848,,Truro,NS,B2N 5G6,Mr. Jeremy Nichols,902-662-2657,http://www.safetycollege.ca,902-662-2190
"(44.651904, -63.577147)",CPA Atlantic School of Business Association,CPA Certification Program,,2000 Barrington Street,Suite 1306,Halifax,NS,B3J 3K1,PO Box 489,,Halifax,NS,B3J 2R7,Ms. Anne-Marie Gammon,,http://www.cpaatlantic.ca,902-334-1176
"(44.648638, -63.575794)",DaVinci College of Art and Design NS Ltd.,"Animation Game, Film and Visual Effects",,1800 Argyle Street,,Halifax,NS,B3J 3N8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.648638, -63.575794)",DaVinci College of Art and Design NS Ltd.,Audio Engineering,,1800 Argyle Street,,Halifax,NS,B3J 3N8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Continuing Care Assistant,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Digital Film Making,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Electronic Music Production,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Event and Promotions Management,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Graphic and Digital Design,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Graphic Design and Web Development,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Network Administrator Specialist,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Photography,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Studio Production,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.774575, -63.695574)",DaVinci College of Art and Design NS Ltd.,Veterinary Hospital Assistant,,800 Sackville Drive,,Lower Sackville,NS,B4E 1R8,,800 Sackville Drive,Lower Sackville,NS,B4E 1R8,Ms. Brittany Wilcox,902-469-4433,http://www.davincicollege.org,902-463-0604
"(44.747329, -63.629213)",Dexter Institute,Heavy Civil Skilled Worker,,927 Rocky Lake Drive,PO Box 48100,Bedford,NS,B4A 3Z2,,,,,,Mr. David Steele,902-832-2191,http://www.dexterinstitute.ca,902-832-6391
"(44.747329, -63.629213)",Dexter Institute,Heavy Equipment Operator,,927 Rocky Lake Drive,PO Box 48100,Bedford,NS,B4A 3Z2,,,,,,Mr. David Steele,902-832-2191,http://www.dexterinstitute.ca,902-832-6391
"(44.640857, -63.571408)",East Coast Language College,ACE TESOL Certificate (full time),,1256 Barrington Street,,Halifax,NS,B3J 1Y6,,,,,,Ms. Sheila Nunn,902-429-3275,http://www.ecslcanada.com,902-491-1526
"(44.640857, -63.571408)",East Coast Language College,ACE TESOL Certificate (part time),,1256 Barrington Street,,Halifax,NS,B3J 1Y6,,,,,,Ms. Sheila Nunn,902-429-3275,http://www.ecslcanada.com,902-491-1526
"(44.64461, -63.618359)",Eastern College (Halifax),Accounting and Payroll Administrator,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Accounting Technician,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Administrative Specialist,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Barbering,,6941 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Business and Digital Marketing Specialist,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Child and Youth Care Worker,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Continuing Care Assistant,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Criminology,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),"Health, Wellness and Recreation",,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Interior Decorating,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),IT Systems Administrator,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Legal Administrative Specialist,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Makeup Artistry and Design,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Massage Therapy,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Medical Administrative Specialist,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Network Support Specialist,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Occupational Therapy & Physiotherapy Assistant,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Paralegal,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Pharmacy Technician,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
"(44.64461, -63.618359)",Eastern College (Halifax),Supply Chain and Logistics,,6940 Mumford Road,Suite 111,Halifax,NS,B3L 0B7,100-84 Chain Lake Drive,Corporate Office,Halifax,NS,B3S 1A2,Ms. Simone Maillet,902-423-2042,http://www.easterncollege.ca,902-423-3933
