ParkName,State,partySize,BookingType,RateType,Equipment
Graves Island,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Veteran,LT 30ft
Salsman,ON ,2,CampsitePermit,Full,LT 20ft
Whycocomagh,ON ,2,CampsitePermit,Full,ST
Rissers Beach,QC ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Full,LT 20ft
Mira River,NS ,3,CampsitePermit,Full,LT 30ft
Thomas Raddall,NS ,6,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,LT 30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 20ft
Five Islands,NB ,4,CampsitePermit,Senior,Tents
Five Islands,AB ,2,CampsitePermit,Senior,ST
Thomas Raddall,ON ,1,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,LT 30ft
Mira River,QC ,2,CampsitePermit,Full,ST
Salsman,NS ,2,CampsitePermit,Senior,LT 30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 30ft
Caribou Munroes,NS ,5,CampsitePermit,Full,LT 40ft
Mira River,NS ,4,CampsitePermit,Full,LT 30ft
Blomidon,NS ,2,CampsitePermit,Full,LT 30ft
Laurie,NS ,4,CampsitePermit,Full,Tents
Amherst Shore,ON ,1,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Senior,LT 30ft
Laurie,NB ,4,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT 40ft
Porters Lake,NS ,2,CampsitePermit,Veteran,LT 30ft
Mira River,ON ,4,CampsitePermit,Full,LT 40ft
Porters Lake,QC ,5,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,LT 20ft
Blomidon,ON ,2,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT 30ft
Valleyview,NS ,2,CampsitePermit,Senior,ST
Smileys,NS ,2,CampsitePermit,Senior,LT 30ft
Smileys,NS ,4,CampsitePermit,Full,LT 20ft
Smileys,NB ,2,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT 20ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Graves Island,ON ,2,CampsitePermit,Senior,LT 20ft
Graves Island,NS ,2,CampsitePermit,Senior,LT 30ft
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Whycocomagh,QC ,2,CampsitePermit,Full,LT 30ft
Five Islands,NS ,3,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Senior,ST
Mira River,NS ,3,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,ON ,3,CampsitePermit,Full,LT 30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 20ft
Graves Island,NS ,2,CampsitePermit,Full,LT 40ft
Battery,NS ,2,CampsitePermit,Full,ST
Graves Island,QC ,2,CampsitePermit,FULL,LT 30ft
Graves Island,ON ,4,CampsitePermit,Full,LT 30ft
Caribou Munroes,QC ,1,CampsitePermit,Senior,LT 20ft
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT 30ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,6,CampsitePermit,Veteran,LT 30ft
Blomidon,NS ,2,CampsitePermit,Full,Tents
Whycocomagh,PE ,1,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Battery,NS ,3,CampsitePermit,Full,ST
Laurie,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT 20ft
Graves Island,NS ,4,CampsitePermit,Full,ST
Mira River,ON ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,LT 30ft
Mira River,NB ,2,CampsitePermit,Full,LT 20ft
Cape Chignecto,NS ,1,BackcountryPermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT 40ft
Caribou Munroes,QC ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT 20ft
Five Islands,NB ,4,CampsitePermit,Full,LT 20ft
Ellenwood Lake,NS ,2,CampsitePermit,Full,Tents
Caribou Munroes,QC ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 30ft
Mira River,QC ,4,CampsitePermit,Full,LT 30ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT 30ft
Mira River,NS ,4,CampsitePermit,Full,Tents
Caribou Munroes,NS ,3,CampsitePermit,Full,LT 20ft
Rissers Beach,PE ,2,CampsitePermit,Full,LT 30ft
Blomidon,QC ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,LT 20ft
Whycocomagh,NS ,5,CampsitePermit,Senior,LT 30ft
Mira River,NS ,4,CampsitePermit,Full,LT 20ft
Smileys,NS ,2,CampsitePermit,Full,LT 30ft
Amherst Shore,NS ,2,CampsitePermit,Full,LT 20ft
Salsman,NS ,2,CampsitePermit,Full,LT 30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 20ft
Five Islands,NS ,2,CampsitePermit,Senior,LT 20ft
Amherst Shore,BC ,4,CampsitePermit,Full,Tents
Salsman,NS ,2,CampsitePermit,Full,LT 40ft
Porters Lake,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Thomas Raddall,ON ,1,CampsitePermit,Full,ST
The Islands,QC ,4,CampsitePermit,Full,LT 20ft
Boylston,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,LT 20ft
Caribou Munroes,ON ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Senior,LT 30ft
Mira River,NS ,4,CampsitePermit,Full,LT 30ft
Graves Island,NS ,2,CampsitePermit,Senior,LT 30ft
Mira River,NS ,2,CampsitePermit,Full,LT 30ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT 20ft
Graves Island,NS ,2,CampsitePermit,Full,LT 30ft
Battery,ON ,2,CampsitePermit,Full,ST
Smileys,NS ,5,CampsitePermit,Senior,LT 30ft
Graves Island,NS ,2,CampsitePermit,Full,LT 20ft
Thomas Raddall,ON ,2,CampsitePermit,Full,LT 20ft
Laurie,NS ,6,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT 30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 20ft
Caribou Munroes,NS ,5,CampsitePermit,Full,ST
Five Islands,PE ,2,CampsitePermit,Full,ST
Five Islands,ON ,4,CampsitePermit,Full,LT 20ft
Cape Chignecto,ON ,4,BackcountryPermit,Full,Cabin
Laurie,QC ,2,CampsitePermit,Full,LT 20ft
Graves Island,NS ,2,CampsitePermit,Full,LT 40ft
Dollar Lake,NS ,5,CampsitePermit,Full,LT 20ft
Graves Island,NS ,2,CampsitePermit,Full,Tents
Dollar Lake,NS ,6,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Senior,ST
Blomidon,NB ,4,CampsitePermit,Full,ST
Laurie,NS ,2,CampsitePermit,Senior,LT 30ft
Amherst Shore,NS ,2,CampsitePermit,Full,LT 30ft
Caribou Munroes,ON ,1,CampsitePermit,Full,ST
Caribou Munroes,ON ,2,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 30ft
Battery,NS ,4,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT 30ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT 30ft
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,Tents
Blomidon,BC ,2,CampsitePermit,Full,ST
Whycocomagh,QC ,5,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT 40ft
Smileys,NS ,4,CampsitePermit,Full,LT 20ft
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Senior,LT 20ft
Amherst Shore,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Senior,LT 30ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT 30ft
Mira River,QC ,2,CampsitePermit,Full,LT 20ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Amherst Shore,NB ,4,CampsitePermit,Full,ST
Blomidon,QC ,2,CampsitePermit,Full,ST
Cape Chignecto,PE ,2,BackcountryPermit,Full,ST
Thomas Raddall,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT 20ft
Blomidon,NS ,4,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,LT 30ft
Five Islands,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Senior,LT 40ft
Whycocomagh,BC ,2,CampsitePermit,Full,ST
Battery,ON ,4,CampsitePermit,Full,LT 30ft
Graves Island,PE ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Battery,QC ,2,CampsitePermit,Full,LT 30ft
Graves Island,QC ,1,CampsitePermit,Full,LT 20ft
Laurie,NS ,6,CampsitePermit,Full,Tents
Blomidon,NS ,1,CampsitePermit,Senior,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT 30ft
Valleyview,NS ,1,CampsitePermit,Full,ST
Porters Lake,NS ,5,CampsitePermit,Full,LT 20ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,Tents
Cape Chignecto,NB ,2,BackcountryPermit,Full,ST
Dollar Lake,NS ,5,CampsitePermit,Full,Tents
Five Islands,ON ,5,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Amherst Shore,NS ,4,CampsitePermit,Senior,LT 30ft
Mira River,NS ,2,CampsitePermit,Full,LT 20ft
Amherst Shore,ON ,2,CampsitePermit,Senior,LT 30ft
Smileys,NS ,4,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,3,CampsitePermit,Senior,LT 30ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,ST
Five Islands,QC ,1,CampsitePermit,Senior,ST
Mira River,ON ,2,CampsitePermit,Full,LT 20ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Laurie,NS ,6,CampsitePermit,Full,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,LT 20ft
Porters Lake,NS ,4,CampsitePermit,Full,LT 30ft
Rissers Beach,ON ,1,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT 30ft
Mira River,NS ,4,CampsitePermit,Full,LT 30ft
Five Islands,NS ,2,CampsitePermit,Full,ST
Mira River,QC ,2,CampsitePermit,Senior,ST
Graves Island,BC ,1,CampsitePermit,Full,ST
Whycocomagh,MB ,2,CampsitePermit,Full,ST
Amherst Shore,ON ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Senior,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Whycocomagh,ON ,2,CampsitePermit,Full,LT 20ft
Smileys,NS ,6,CampsitePermit,Full,LT 20ft
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Veteran,LT 30ft
The Islands,QC ,3,CampsitePermit,Full,LT 30ft
Caribou Munroes,ON ,2,CampsitePermit,Senior,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,5,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 30ft
Thomas Raddall,NS ,4,CampsitePermit,Full,Tents
Whycocomagh,QC ,2,CampsitePermit,Full,LT 30ft
Five Islands,NS ,4,CampsitePermit,Full,Tents
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Senior,LT 40ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 30ft
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Mira River,QC ,2,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Senior,LT 30ft
Graves Island,NS ,2,CampsitePermit,Full,LT 40ft
Battery,NS ,3,CampsitePermit,Full,ST
Battery,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Battery,QC ,4,CampsitePermit,Full,ST
Five Islands,ON ,3,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,Tents
Valleyview,NS ,4,CampsitePermit,Full,LT 30ft
Blomidon,ON ,2,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,ST
Amherst Shore,NS ,3,CampsitePermit,Full,LT 20ft
Porters Lake,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,5,CampsitePermit,Veteran,ST
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Blomidon,NS ,3,CampsitePermit,Full,LT 40ft
Blomidon,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Veteran,LT 20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT 30ft
Whycocomagh,ON ,4,CampsitePermit,Full,Tents
Five Islands,ON ,2,CampsitePermit,Full,ST
The Islands,NS ,4,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT 30ft
Blomidon,NS ,2,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,1,CampsitePermit,Full,LT 30ft
Battery,NS ,2,CampsitePermit,Full,Tents
Cape Chignecto,NB ,1,BackcountryPermit,Full,ST
Graves Island,ON ,2,CampsitePermit,Full,LT 20ft
Valleyview,NS ,1,CampsitePermit,Senior,LT 20ft
Thomas Raddall,ON ,1,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT 20ft
Caribou Munroes,NS ,5,CampsitePermit,Full,LT 30ft
Laurie,QC ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,1,CampsitePermit,Senior,LT 20ft
Graves Island,BC ,1,CampsitePermit,Full,LT 20ft
Porters Lake,QC ,3,CampsitePermit,Full,LT 30ft
Valleyview,NS ,3,CampsitePermit,Full,ST
Porters Lake,NS ,6,CampsitePermit,Full,ST
Thomas Raddall,NS ,5,CampsitePermit,Full,Tents
Whycocomagh,ON ,2,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,LT 40ft
Caribou Munroes,QC ,5,CampsitePermit,Full,LT 30ft
Porters Lake,QC ,2,CampsitePermit,Full,ST
Blomidon,NS ,5,CampsitePermit,Full,LT 30ft
Porters Lake,QC ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT 20ft
The Islands,QC ,2,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Five Islands,ON ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT 30ft
Five Islands,NS ,5,CampsitePermit,Full,Tents
Thomas Raddall,NS ,3,CampsitePermit,Full,LT 40ft
Amherst Shore,NS ,2,CampsitePermit,Full,LT 30ft
Graves Island,NS ,6,CampsitePermit,Full,Tents
Porters Lake,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,3,CampsitePermit,Full,LT 20ft
Graves Island,NS ,4,CampsitePermit,Full,LT 30ft
The Islands,NS ,2,CampsitePermit,Senior,LT 40ft
Porters Lake,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,6,CampsitePermit,Full,ST
Five Islands,ON ,2,CampsitePermit,Full,ST
Mira River,QC ,3,CampsitePermit,Full,ST
Blomidon,NB ,6,CampsitePermit,Full,Tents
The Islands,ON ,5,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,2,CampsitePermit,Senior,LT 20ft
Graves Island,ON ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,1,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Valleyview,NS ,1,CampsitePermit,Senior,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT 40ft
Thomas Raddall,NB ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT 20ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,Tents
Amherst Shore,QC ,2,CampsitePermit,Full,LT 30ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT 20ft
Porters Lake,ON ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,4,CampsitePermit,Full,LT 30ft
Battery,ON ,4,CampsitePermit,Full,LT 20ft
Valleyview,BC ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT 30ft
Mira River,NS ,2,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT 20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT 40ft
Laurie,PE ,1,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT 20ft
Thomas Raddall,NS ,4,CampsitePermit,Full,LT 20ft
Whycocomagh,NS ,4,YurtPermit,Full,Tents
Porters Lake,NS ,2,CampsitePermit,Full,LT 20ft
Cape Chignecto,NS ,4,BackcountryPermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Five Islands,NS ,5,CampsitePermit,Senior,ST
Thomas Raddall,NB ,6,CampsitePermit,Full,Tents
Rissers Beach,AB ,1,CampsitePermit,Full,LT 30ft
Mira River,NS ,2,CampsitePermit,Full,ST
Smileys,ON ,1,CampsitePermit,Full,ST
Boylston,NS ,1,CampsitePermit,Full,ST
Amherst Shore,NS ,2,CampsitePermit,Senior,LT 30ft
Rissers Beach,AB ,4,CampsitePermit,FULL,LT 30ft
Thomas Raddall,NS ,1,CampsitePermit,Full,ST
Mira River,NS ,3,CampsitePermit,Full,LT 40ft
Blomidon,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,5,CampsitePermit,Full,Tents
Five Islands,NS ,1,CampsitePermit,Senior,ST
Five Islands,NS ,5,CampsitePermit,Full,ST
Rissers Beach,ON ,2,CampsitePermit,Full,ST
Thomas Raddall,ON ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Veteran,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,Tents
Smileys,NS ,2,CampsitePermit,Full,LT 30ft
Graves Island,QC ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Caribou Munroes,NB ,2,CampsitePermit,Full,ST
Battery,AB ,2,CampsitePermit,Senior,ST
Graves Island,NB ,2,CampsitePermit,Full,LT 30ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT 20ft
Whycocomagh,NS ,3,CampsitePermit,Full,ST
Mira River,NS ,3,CampsitePermit,Full,LT 40ft
Graves Island,NS ,4,CampsitePermit,Senior,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,LT 20ft
Salsman,NS ,2,CampsitePermit,Senior,LT 20ft
Mira River,NS ,2,CampsitePermit,Full,ST
Rissers Beach,ON ,4,CampsitePermit,Full,ST
Mira River,BC ,2,CampsitePermit,Senior,ST
Whycocomagh,NS ,2,CampsitePermit,Senior,ST
Laurie,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Blomidon,ON ,2,CampsitePermit,Full,ST
Mira River,NS ,6,CampsitePermit,Full,Tents
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 30ft
Smileys,NS ,2,CampsitePermit,Full,LT 20ft
Valleyview,NS ,1,CampsitePermit,Full,LT 20ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 30ft
Graves Island,QC ,1,CampsitePermit,Full,ST
Five Islands,ON ,2,CampsitePermit,Full,ST
Blomidon,NS ,3,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Amherst Shore,NS ,2,CampsitePermit,Senior,LT 20ft
The Islands,NB ,2,CampsitePermit,Full,LT 30ft
Caribou Munroes,AB ,5,CampsitePermit,Full,LT 20ft
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,Tents
Laurie,NS ,3,CampsitePermit,Full,LT 30ft
Mira River,AB ,3,CampsitePermit,Full,ST
Graves Island,BC ,2,CampsitePermit,Full,LT 30ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,QC ,4,CampsitePermit,Full,ST
Amherst Shore,NS ,2,CampsitePermit,Full,LT 20ft
Graves Island,NS ,1,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT 30ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT 20ft
Mira River,NS ,2,CampsitePermit,Senior,LT 20ft
Caribou Munroes,BC ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT 20ft
Graves Island,NS ,1,CampsitePermit,Full,LT 30ft
Five Islands,NS ,2,CampsitePermit,Full,LT 20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT 30ft
Blomidon,NS ,3,CampsitePermit,Full,LT 20ft
Graves Island,NS ,4,CampsitePermit,Full,Tents
Caribou Munroes,NS ,2,CampsitePermit,Full,LT 40ft
Five Islands,ON ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT 40ft
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Mira River,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,6,CampsitePermit,Full,ST
Rissers Beach,QC ,2,CampsitePermit,Senior,LT 20ft
Whycocomagh,AB ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT 30ft
Five Islands,QC ,3,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
